ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
134077,Anacardiaceae,Rhus,Arbusto,Blanca
97683,Apocynaceae,Matelea,Árbol,Blanca
75732,Boraginaceae,Tiquilia,Árbol,Rosa
84043,Cactaceae,Cylindropuntia,Arbusto,Rosa
134749,Anacardiaceae,Rhus,Arbusto,Blanca
113248,Euphorbiaceae,Euphorbia,Árbol,Verde
95175,Apocynaceae,Asclepias,Arbusto,Blanca
131578,Rubiaceae,Bouvardia,Arbusto,Blanca
76890,Brassicaceae,Lepidium,Árbol,Blanca
93865,Portulacaceae,Portulaca,Árbol,Blanca
86422,Cactaceae,Lophocereus,Árbol,Blanca
115441,Euphorbiaceae,Euphorbia,Árbol,Blanca
130242,Rhamnaceae,Ziziphus,Arbusto,Blanca
84232,Cactaceae,Cylindropuntia,Arbusto,Café
81282,Amaranthaceae,Chenopodium,Árbol,Blanca
102789,Acanthaceae,Ruellia,Árbol,Blanca
11106,Hydrocharitaceae,Najas,Árbol,Verdosa
133675,Anacardiaceae,Pistacia,Árbol,Blanca
111063,Euphorbiaceae,Croton,Árbol,Blanca
86507,Cactaceae,Mammillaria,Arbusto,Rosa
75834,Boraginaceae,Tiquilia,Árbol,Rosa
93550,Phytolaccaceae,Stegnosperma,Árbol,Azul
110650,Euphorbiaceae,Croton,Árbol,Blanca
140564,Solanaceae,Solanum,Arbusto,Verde
85283,Cactaceae,Echinocereus,Arbusto,Magenta
76504,Brassicaceae,Draba,Árbol,Amarilla
111535,Euphorbiaceae,Dalechampia,Arbusto,Blanca
133178,Anacardiaceae,Bonetiella,Arbusto,Blanco amarillenta
1024,Amaryllidaceae,Dichelostemma,Árbol,Amarillenta
1385,Asparagaceae,Agave,Árbol,Amarillenta
80357,Amaranthaceae,Atriplex,Arbusto,Verde
74963,Boraginaceae,Heliotropium,Árbol,Blanca
76555,Brassicaceae,Dryopetalon,Árbol,Blanca
105184,Lamiaceae,Salvia,Árbol,Violeta
116954,Euphorbiaceae,Stillingia,Árbol,Ausente
118013,Salicaceae,Salix,Árbol,Lavanda
101345,Acanthaceae,Justicia,Árbol,Blanca
3759,Asparagaceae,Dasylirion,Árbol,Amarilla
1,Alismataceae,Alisma,Árbol,Blanca
139306,Solanaceae,Physalis,Árbol,Rosa
84503,Cactaceae,Cylindropuntia,Arbusto,Amarilla
126137,Polygalaceae,Polygala,Árbol,Blanca
88647,Cactaceae,Opuntia,Arbusto,Amarilla
98965,Apocynaceae,Sarcostemma,Arbusto,Rosa
6614,Commelinaceae,Commelina,Árbol,Azul
10976,Melanthiaceae,Schoenocaulon,Árbol,Verde
140920,Solanaceae,Solanum,Arbusto,Verdosa
